Rating de cada QB 

McCoy teve valor 74.5
Freeman teve valor 95.9
Vick teve valor 100.2
Schaub teve valor 92.0
Rivers teve valor 101.8
Hasselbeck teve valor 73.2
Clausen teve valor 58.4
Flacco teve valor 93.6
Orton teve valor 87.5
Campbell teve valor 84.5
Manning teve valor 91.9
Brees teve valor 90.9
Ryan teve valor 91.0
Cassel teve valor 93.0
Sanchez teve valor 75.3
Favre teve valor 69.9
Garrard teve valor 90.8
Manning teve valor 85.3
Palmer teve valor 82.4
Smith teve valor 82.1
Henne teve valor 75.4
Romo teve valor 94.9
Cutler teve valor 86.3
Kitna teve valor 88.9
Brady teve valor 111.0
Roethlisberger teve valor 97.0
Collins teve valor 82.2
Anderson teve valor 65.9
Fitzpatrick teve valor 81.8
McNabb teve valor 77.1
Kolb teve valor 76.1
Rodgers teve valor 101.2
Bradford teve valor 76.5
Hill teve valor 81.3
